# Created by Octave 4.2.0, Sun Feb 12 12:20:49 2023 CET <marcos@encina>
# name: X271200
# type: matrix
# rows: 756
# columns: 2
 200602 128836
 200603 176081
 200604 131631
 200605 155805
 200606 171032
 200607 169034
 200608 105189
 200609 107511
 200610 128178
 200611 135142
 200612 136723
 200701 125985
 200702 123327
 200703 175327
 200704 123825
 200705 155402
 200706 167880
 200707 168613
 200708 100791
 200709 98670
 200710 130446
 200711 125388
 200712 138140
 200801 104953
 200802 124836
 200803 126357
 200804 125522
 200805 118085
 200806 116649
 200807 123958
 200808 60737
 200809 67365
 200810 79686
 200811 64345
 200812 72760
 200901 60662
 200902 63297
 200903 77102
 200904 67828
 200905 72303
 200906 98296
 200907 110678
 200908 60398
 200909 79323
 200910 100733
 200911 88485
 200912 92085
 201001 71260
 201002 93070
 201003 126654
 201004 95415
 201005 104497
 201006 122610
 201007 83840
 201008 46572
 201009 57875
 201010 62592
 201011 65706
 201012 69964
 201101 54416
 201102 67028
 201103 88947
 201104 72413
 201105 79317
 201106 84004
 201107 79591
 201108 48262
 201109 56326
 201110 58366
 201111 52734
 201112 66886
 201201 55447
 201202 65202
 201203 85059
 201204 56859
 201205 73520
 201206 74191
 201207 66249
 201208 50351
 201209 36309
 201210 46178
 201211 49157
 201212 52044
 201301 50753
 201302 59438
 201303 73904
 201304 63753
 201305 71887
 201306 74479
 201307 77436
 201308 41700
 201309 47069
 201310 62326
 201311 57237
 201312 62323
 201401 55298
 201402 71090
 201403 82068
 201404 82502
 201405 85015
 201406 92668
 201407 86884
 201408 48539
 201409 60222
 201410 80156
 201411 68559
 201412 77124
 201501 71280
 201502 90517
 201503 116336
 201504 86779
 201505 98265
 201506 116042
 201507 108646
 201508 60733
 201509 76601
 201510 86664
 201511 87521
 201512 94614
 201601 81716
 201602 104006
 201603 119302
 201604 107444
 201605 120060
 201606 131759
 201607 114862
 201608 69985
 201609 86478
 201610 90041
 201611 99985
 201612 104419
 201701 91897
 201702 106556
 201703 135459
 201704 109396
 201705 136168
 201706 141251
 201707 119773
 201708 80582
 201709 91471
 201710 103840
 201711 113812
 201712 111422
 201801 109282
 201802 119594
 201803 137820
 201804 125642
 201805 145122
 201806 151747
 201807 139406
 201808 114999
 201809 76247
 201810 97114
 201811 100130
 201812 106941
 201901 102556
 201902 109343
 201903 133405
 201904 130254
 201905 137091
 201906 140445
 201907 127485
 201908 82549
 201909 90307
 201910 105084
 201911 102905
 201912 114131
 202001 95041
 202002 104396
 202003 41826
 202004 4764
 202005 36683
 202006 90596
 202007 127844
 202008 74777
 202009 79365
 202010 83745
 202011 84472
 202012 115580
 202101 47339
 202102 64843
 202103 94013
 202104 85674
 202105 103086
 202106 103467
 202107 92171
 202108 54561
 202109 67792
 202110 67899
 202111 76529
 202112 96289
 202201 49787
 202202 70396
 202203 69911
 202204 76806
 202205 93583
 202206 97929
 202207 82938
 202208 60723
 202209 75945
 202210 74271
 202211 81626
 202212 81006


